date,product,category,price,quantity
2023-04-18,D,Home,12.74,11
2023-06-20,B,Sports,40.95,10
2023-05-11,B,Sports,58.03,18
2023-04-24,A,Home,127.65,4
2023-06-29,A,Toys,152.65,16
2023-06-06,C,Electronics,23.22,13
2023-04-02,B,Home,358.5,15
2023-06-18,A,Home,484.06,6
2023-04-29,E,Clothing,216.31,12
2023-04-07,A,Clothing,338.38,5
2023-06-05,F,Groceries,115.2,5
2023-04-02,D,Home,176.66,16
2023-06-11,F,Electronics,407.37,7
2023-04-05,F,Sports,249.2,8
2023-04-10,B,Clothing,45.05,5
2023-04-01,B,Clothing,40.38,9
2023-04-28,E,Clothing,30.5,4
2023-06-23,B,Clothing,47.48,14
2023-04-19,A,Electronics,120.4,12
2023-05-06,A,Clothing,41.49,14
2023-06-07,D,Sports,21.37,5
2023-05-26,E,Groceries,106.03,6
2023-06-16,D,Sports,16.34,2
2023-06-18,B,Toys,324.38,11
2023-04-12,B,Groceries,41.35,9
2023-04-12,E,Groceries,347.45,7
2023-04-01,F,Sports,150.38,14
2023-06-29,B,Clothing,460.11,11
2023-04-26,E,Sports,77.58,3
2023-05-08,B,Sports,201.7,5
2023-04-06,D,Sports,234.33,8
2023-04-07,F,Clothing,117.45,11
2023-06-17,A,Sports,41.33,13
2023-06-01,F,Toys,177.89,19
2023-04-25,D,Groceries,22.96,19
2023-04-11,D,Groceries,361.87,13
2023-05-27,E,Clothing,41.31,5
2023-06-29,D,Toys,365.4,3
2023-06-14,D,Groceries,249.62,1
2023-06-07,B,Home,323.97,14
2023-05-23,E,Electronics,334.77,1
2023-05-21,A,Sports,82.96,14
2023-04-27,D,Home,77.05,13
2023-06-05,E,Electronics,393.9,4
2023-05-15,A,Toys,437.74,12
2023-04-08,F,Sports,417.28,14
2023-04-23,B,Electronics,201.99,9
2023-05-01,B,Sports,293.04,7
2023-06-10,C,Groceries,82.65,2
2023-06-06,F,Toys,76.07,4
2023-04-08,D,Groceries,152.57,6
2023-06-19,C,Electronics,311.27,12
2023-05-29,A,Groceries,78.59,15
2023-05-25,C,Toys,267.69,4
2023-06-11,A,Electronics,316.74,16
2023-04-24,E,Electronics,121.08,11
2023-05-09,A,Sports,424.66,4
2023-04-25,D,Home,313.61,10
2023-05-22,D,Home,298.8,13
2023-05-24,B,Groceries,194.48,5
2023-04-19,F,Electronics,179.92,18
2023-06-13,B,Electronics,152.78,16
2023-05-21,E,Clothing,140.55,14
2023-06-23,E,Toys,244.98,3
2023-04-05,C,Groceries,162.24,15
2023-06-14,C,Clothing,190.15,9
2023-05-17,E,Toys,397.11,3
2023-06-26,F,Home,29.83,2
2023-06-06,D,Toys,24.57,11
2023-04-06,F,Toys,330.36,7
2023-06-15,D,Sports,30.7,10
2023-04-25,A,Toys,421.38,5
2023-04-15,D,Clothing,99.29,16
2023-04-16,A,Toys,40.43,1
2023-04-17,C,Clothing,373.78,7
2023-06-25,B,Sports,330.31,15
2023-06-26,B,Clothing,292.2,18
2023-06-01,E,Sports,381.75,10
2023-04-10,E,Home,355.69,2
2023-06-13,F,Groceries,107.6,5
2023-05-28,B,Groceries,218.03,17
2023-05-31,E,Electronics,41.88,2
2023-04-23,A,Electronics,144.57,12
2023-05-02,B,Groceries,341.37,5
2023-04-26,E,Home,92.26,9
2023-04-26,F,Electronics,466.06,5
2023-05-02,C,Toys,413.69,3
2023-05-19,F,Home,354.38,7
2023-04-17,F,Groceries,466.69,1
2023-06-16,A,Groceries,237.92,12
2023-05-21,C,Groceries,220.84,2
2023-04-19,A,Clothing,460.88,17
2023-06-14,B,Electronics,426.24,11
2023-04-12,F,Toys,65.9,12
2023-04-30,B,Groceries,124.77,17
2023-05-02,C,Clothing,284.19,5
2023-04-11,E,Toys,17.47,10
2023-06-26,A,Toys,361.53,7
2023-04-07,B,Sports,193.85,3
2023-06-09,D,Home,418.67,15
2023-05-29,C,Groceries,89.72,6
2023-04-25,C,Sports,44.26,9
2023-06-12,F,Toys,397.68,6
2023-06-15,B,Sports,449.94,16
2023-04-24,C,Toys,397.97,10
2023-05-20,C,Clothing,10.48,2
2023-05-26,E,Toys,66.63,18
2023-05-16,C,Electronics,25.39,2
2023-04-06,F,Sports,289.93,9
2023-06-18,F,Electronics,170.37,3
2023-06-17,D,Toys,216.24,3
2023-04-03,B,Toys,350.35,5
2023-04-12,A,Sports,29.77,19
2023-06-29,C,Electronics,455.45,13
2023-06-30,A,Electronics,471.97,10
2023-05-01,D,Home,141.04,8
2023-05-30,B,Groceries,347.18,2
2023-05-31,C,Electronics,326.98,14
2023-04-29,C,Home,467.88,15
2023-06-01,E,Home,414.03,7
2023-06-16,B,Toys,12.65,6
2023-06-09,A,Electronics,95.3,6
2023-06-30,C,Toys,117.87,5
2023-04-08,C,Sports,417.72,9
2023-05-14,E,Toys,358.23,17
2023-04-07,F,Sports,470.34,7
2023-06-28,F,Clothing,110.84,8
2023-06-13,C,Clothing,280.72,14
2023-06-06,E,Sports,17.93,17
2023-05-22,C,Sports,117.94,17
2023-04-15,A,Toys,248.02,11
2023-05-18,F,Electronics,266.58,9
2023-05-25,E,Electronics,433.02,6
2023-05-14,E,Toys,215.94,11
2023-04-30,D,Home,6.76,19
2023-04-15,C,Toys,80.55,5
2023-04-27,E,Home,29.23,4
2023-05-10,C,Toys,144.42,15
2023-05-02,A,Groceries,165.12,2
2023-04-20,B,Toys,425.64,3
2023-04-27,D,Electronics,499.86,13
2023-05-15,C,Home,342.34,13
2023-06-04,A,Clothing,291.04,11
2023-06-15,E,Groceries,71.35,12
2023-05-06,B,Clothing,439.3,9
2023-05-27,D,Sports,219.04,4
2023-04-29,E,Toys,75.7,7
2023-04-11,B,Toys,491.82,7
2023-05-12,C,Electronics,396.35,16
2023-05-06,A,Sports,371.79,15
2023-06-28,F,Toys,256.44,12
2023-05-07,D,Sports,402.36,3
2023-06-18,F,Toys,167.5,9
2023-05-08,D,Home,425.89,10
2023-05-11,D,Clothing,404.01,2
2023-06-08,A,Clothing,435.17,16
2023-04-18,D,Groceries,172.51,6
2023-05-02,A,Groceries,395.28,3
2023-04-17,C,Home,127.57,3
2023-04-06,C,Home,209.8,19
2023-04-28,A,Groceries,235.03,12
2023-05-22,E,Toys,264.02,11
2023-06-27,D,Toys,70.24,13
2023-05-21,C,Toys,138.16,15
2023-06-22,D,Toys,364.38,19
2023-06-03,B,Home,475.19,2
2023-04-22,E,Clothing,347.7,17
2023-05-02,E,Toys,17.43,3
2023-06-07,E,Clothing,268.34,8
2023-06-21,A,Home,290.18,17
2023-05-13,E,Sports,317.76,6
2023-06-26,F,Electronics,346.38,5
2023-05-14,B,Groceries,197.16,15
2023-04-25,B,Sports,462.06,2
2023-04-18,B,Clothing,286.9,15
2023-04-16,A,Toys,482.89,18
2023-06-24,A,Groceries,47.35,4
2023-06-18,A,Sports,247.91,16
2023-06-21,D,Clothing,261.21,16
2023-04-21,B,Toys,372.56,7
2023-06-19,F,Toys,415.05,9
2023-05-04,A,Electronics,142.93,10
2023-06-24,A,Toys,336.65,18
2023-05-30,F,Toys,77.65,15
2023-05-18,D,Electronics,303.57,19
2023-06-07,A,Toys,17.54,16
2023-04-18,B,Sports,375.08,6
2023-05-29,B,Home,310.48,11
2023-05-05,E,Clothing,212.9,15
2023-05-09,F,Home,67.79,14
2023-05-04,F,Clothing,474.77,7
2023-06-23,C,Sports,329.47,16
2023-06-13,C,Home,143.4,17
2023-05-28,D,Toys,105.46,13
2023-05-26,F,Groceries,314.28,10
2023-05-30,A,Clothing,243.77,18
2023-05-14,C,Groceries,476.75,5
2023-06-12,A,Clothing,110.91,10
2023-06-09,C,Toys,437.9,2
2023-04-01,F,Sports,106.8,4
2023-04-14,F,Groceries,396.45,9
2023-04-20,A,Groceries,376.82,10
2023-06-12,A,Groceries,492.28,2
2023-06-03,D,Home,130.38,18
2023-06-02,D,Sports,291.27,14
2023-05-20,C,Electronics,205.73,1
2023-05-29,C,Electronics,371.91,18
2023-05-02,D,Home,264.89,6
2023-05-04,F,Electronics,155.21,13
2023-05-24,A,Sports,433.62,10
2023-05-31,B,Clothing,418.49,11
2023-04-07,A,Toys,13.37,16
2023-06-09,C,Clothing,171.48,9
2023-04-17,F,Home,446.81,1
2023-04-02,D,Sports,492.84,18
2023-06-23,A,Electronics,425.18,3
2023-04-13,F,Home,94.88,14
2023-06-24,D,Clothing,483.43,15
2023-04-07,F,Toys,199.95,3
2023-05-09,C,Toys,472.64,3
2023-05-20,F,Toys,133.54,14
2023-05-10,A,Groceries,381.85,5
2023-05-30,D,Sports,30.59,19
2023-04-30,B,Groceries,445.26,1
2023-06-10,B,Toys,248.75,2
2023-06-16,A,Electronics,334.36,8
2023-04-20,A,Groceries,246.55,10
2023-06-01,F,Sports,374.13,17
2023-06-13,F,Groceries,26.33,17
2023-06-03,D,Electronics,318.38,13
2023-06-02,B,Toys,349.08,14
2023-04-24,A,Clothing,146.23,11
2023-06-14,A,Groceries,461.65,4
2023-05-19,D,Home,462.77,13
2023-04-16,A,Sports,491.89,6
2023-04-26,A,Home,180.37,7
2023-05-01,C,Home,158.51,7
2023-04-28,B,Clothing,282.59,18
2023-05-17,A,Home,334.14,9
2023-06-22,C,Groceries,329.07,18
2023-06-23,E,Clothing,175.14,14
2023-06-25,B,Home,389.79,14
2023-06-01,C,Toys,480.03,12
2023-06-20,E,Groceries,108.71,3
2023-05-29,E,Groceries,371.77,3
2023-06-30,B,Home,207.85,19
2023-04-24,B,Sports,38.04,12
2023-06-06,A,Toys,386.21,17
2023-05-12,C,Home,82.35,13
2023-06-30,B,Groceries,224.13,1
2023-05-09,D,Sports,83.59,13
2023-05-06,F,Clothing,164.77,7
2023-04-17,D,Sports,328.53,3
2023-04-23,F,Groceries,282.97,7
2023-04-09,A,Home,50.8,6
2023-06-23,F,Clothing,433.83,10
2023-05-28,C,Groceries,173.31,7
2023-04-02,C,Home,302.41,6
2023-05-08,C,Home,324.3,7
2023-05-19,E,Sports,263.05,5
2023-04-21,D,Groceries,190.75,8
2023-06-20,F,Toys,375.99,5
2023-04-26,D,Groceries,314.37,5
2023-05-29,B,Clothing,401.46,5
2023-04-15,C,Electronics,413.77,4
2023-05-21,B,Clothing,355.89,16
2023-05-13,F,Groceries,439.43,10
2023-05-01,A,Home,295.2,5
2023-05-16,E,Sports,357.22,5
