date,product,category,price,quantity
2023-08-20,E,Sports,15.69,13
2023-09-19,E,Home,12.15,12
2023-07-17,B,Electronics,13.22,1
2023-08-19,E,Clothing,32.58,16
2023-09-22,B,Toys,30.95,5
2023-08-24,D,Sports,57.06,7
2023-08-10,B,Toys,33.49,15
2023-08-08,A,Electronics,16.44,16
2023-09-30,F,Home,93.15,1
2023-09-22,F,Sports,152.03,1
2023-08-27,A,Toys,92.21,3
2023-09-05,C,Home,6.92,11
2023-07-03,A,Electronics,35.85,5
2023-07-14,A,Toys,7.67,3
2023-07-08,D,Groceries,65.59,15
2023-08-04,A,Home,303.1,9
2023-08-14,F,Toys,367.47,12
2023-07-20,F,Sports,237.78,15
2023-07-24,A,Toys,175.71,3
2023-09-18,E,Home,295.13,16
2023-09-07,B,Electronics,62.92,19
2023-07-19,C,Clothing,21.76,13
2023-08-10,E,Toys,167.67,13
2023-07-03,B,Toys,194.91,1
2023-09-11,C,Sports,163.14,2
2023-09-23,D,Clothing,72.48,7
2023-09-22,C,Clothing,14.87,10
2023-08-13,F,Groceries,12.44,10
2023-08-15,B,Toys,338.24,11
2023-08-21,F,Sports,260.11,7
2023-07-26,A,Home,54.77,3
2023-08-25,B,Electronics,71.16,8
2023-07-26,D,Home,10.95,10
2023-08-20,B,Toys,32.39,9
2023-07-02,C,Groceries,30.85,9
2023-08-06,A,Electronics,28.93,3
2023-07-29,C,Electronics,27.54,19
2023-09-07,A,Toys,12.46,17
2023-08-03,C,Clothing,88.76,16
2023-07-30,E,Home,155.11,6
2023-07-12,F,Groceries,57.68,1
2023-08-30,A,Clothing,153.85,1
2023-07-20,E,Toys,144.95,18
2023-08-06,B,Clothing,142.47,8
2023-07-07,B,Toys,83.95,5
2023-09-19,B,Groceries,209.44,19
2023-09-06,A,Electronics,256.45,1
2023-09-16,E,Sports,128.94,19
2023-09-10,D,Home,153.61,9
2023-07-16,B,Home,314.34,1
2023-07-02,B,Clothing,19.13,14
2023-08-07,C,Groceries,34.27,5
2023-07-24,C,Groceries,33.11,11
2023-08-16,C,Sports,168.88,12
2023-08-20,D,Groceries,85.62,9
2023-07-31,A,Sports,13.61,8
2023-09-28,B,Clothing,98.95,10
2023-08-14,B,Groceries,19.15,1
2023-08-13,A,Clothing,11.18,18
2023-08-03,E,Sports,21.0,2
2023-09-20,D,Sports,347.15,18
2023-09-23,A,Groceries,10.83,12
2023-07-15,C,Clothing,16.94,18
2023-09-07,F,Toys,37.84,2
2023-08-17,C,Toys,270.77,7
2023-07-16,E,Sports,61.37,15
2023-09-02,E,Sports,33.26,19
2023-08-08,D,Groceries,64.54,17
2023-08-16,D,Clothing,79.36,19
2023-07-14,F,Groceries,75.89,3
2023-07-04,E,Toys,132.77,5
2023-08-23,C,Groceries,178.91,8
