date,product,category,price,quantity
2023-01-02,B,Groceries,235.22,
2023-03-23,C,Groceries,28,17
2023-03-30,B,Groceries,170.78,2
2023-03-04,B,Clothing,40,5
2023-02-25,E,Clothing,45,12
2023-01-20,D,Clothing,22,8
2023-03-22,E,Toys,40.51,5
2023-03-23,D,Toys,31.39,0
2023-03-13,D,Electronics,174.92,11
2023-02-28,A,Sports,404.77,4
2023-02-02,D,Electronics,55.07,1
2023-01-02,D,Home,358.4,10
2023-02-07,A,Home,301.44,19
2023-02-26,E,Electronics,45.28,4
2023-03-25,D,Sports,498.17,4
2023-02-11,C,Sports,99.64,2
2023-01-11,C,Clothing,33.77,3
2023-03-13,C,Home,461.04,19
2023-01-14,A,Sports,200.05,6
2023-03-25,D,Groceries,25,17
2023-01-05,F,Groceries,28.40,10
2023-02-28,A,Home,120.27,5
2023-01-10,C,Groceries,423.24,14
2023-03-20,B,Sports,314.14,16
2023-01-08,E,Home,425.28,15
2023-02-05,D,Groceries,295.66,10
2023-02-19,C,Groceries,367.35,14
2023-03-09,D,Toys,410.73,19
2023-02-04,F,Sports,421.83,19
2023-01-22,E,Clothing,31,16
2023-02-16,D,Clothing,21,7
2023-03-15,F,Groceries,376.39,3
2023-03-07,C,Home,50.74,15
2023-02-28,C,Sports,161.25,0
2023-02-06,A,Groceries,33.43,4
2023-01-27,A,Electronics,288.36,4
2023-03-02,F,Sports,91.97,19
2023-03-11,B,Electronics,234.04,14
2023-01-20,B,Electronics,14.48,9
2023-03-14,C,Electronics,149.68,10
2023-03-07,C,Toys,407.23,16
2023-03-09,E,Electronics,294.88,9
2023-03-17,D,Sports,221.36,3
2023-03-21,A,Groceries,209.16,18
2023-02-19,C,Groceries,297.94,8
2023-02-06,C,Sports,440.17,4
2023-02-26,E,Sports,58.69,1
2023-01-04,C,Groceries,215.9,15
2023-03-25,F,Electronics,296.37,11
2023-02-14,A,Electronics,343.63,9
2023-02-02,C,Toys,493.32,7
2023-02-18,E,Clothing,42,4
2023-03-18,D,Groceries,12,4
2023-03-23,C,Electronics,52.48,14
2023-01-09,D,Home,487.0,11
2023-02-02,C,Home,322.31,7
2023-01-23,B,Clothing,55.79,5
2023-03-05,B,Electronics,186.44,8
2023-03-04,F,Electronics,94.22,7
2023-02-08,A,Home,147.02,13
2023-02-01,B,Clothing,49.8,9
2023-02-25,B,Home,169.77,6
2023-01-19,E,Toys,186.9,16
2023-01-21,B,Electronics,219.92,17
2023-03-14,F,Toys,225.29,3
2023-03-31,A,Home,408.8,2
2023-01-24,B,Electronics,368.51,2
2023-02-26,D,Home,360.76,13
2023-02-15,C,Sports,84.64,18
2023-01-29,B,Clothing,150.91,11
2023-01-15,F,Groceries,45.75,19
2023-01-03,E,Toys,360.79,14
2023-01-28,C,Clothing,11.59,6
2023-01-17,C,Electronics,370.18,18
2023-03-20,B,Home,14.71,6
2023-03-28,C,Home,367.18,14
2023-02-12,E,Sports,30.99,18
2023-02-23,A,Electronics,46.48,12
2023-02-05,B,Toys,135.57,18
2023-01-14,B,Groceries,174.4,16
2023-03-16,D,Clothing,144.64,5
2023-02-05,E,Groceries,203.11,3
2023-02-01,F,Sports,479.96,9
2023-01-27,A,Electronics,463.52,18
